club,last_name,first_name,position,base_salary,guaranteed_compensation
CHI,Armas,Chris,M,225000,225000
CHI,Banner,Michael,M,12900,12900
CHI,Barrett,Chad,F,41212.5,48712.5
CHI,Blanco,Cuauhtemoc,F,2492316,2666778
CHI,Brown,C.J.,D,106391,106391
CHI,Busch,Jon,GK,58008,58008
CHI,Carr,Calen,F,38000,50500
CHI,Conde,Wilman,D,144000,151500
CHI,Correa,Thiago,M,44100,44100
CHI,Curtin,Jeff,D,12900,12900
CHI,Curtin,Jim,D,120750,120750
CHI,Franks,Floyd,M,17700,17700
CHI,Guerrero,Ivan,D-M,160000,187500
CHI,Gutierrez,Diego,M,126500,126500
CHI,Mapp,Justin,M,130000,136000
CHI,Marques,Bruno,M,12900,12900
CHI,Monteiro,Jerson,F,17700,17700
CHI,Noble,Nick,GK,12900,12900
CHI,Pause,Logan,M,69300,69300
CHI,Pickens,Matt,GK,32340,32340
CHI,Plotkin,Brian,M,30000,30000
CHI,Robinson,Dasan,D,42500,42500
CHI,Rolfe,Chris,F,70000,74700
CHI,Russolillo,Jordan,D,12900,12900
CHI,Segares,Gonzalo,D,48300,50800
CHI,Soumare,Bakary,D,45000,78000
CHI,Telesford,Osei,D,36000,36625
CHI,Wanchope,Paulo,F,240000,267500
CHI,Woolard,Daniel,D,12900,12900
CHV,Arvizu,David,F,33000,40500
CHV,Bornstein,Jonathan,D,57500,57500
CHV,Brooks,Desmond,D,12900,12900
CHV,Burling,Bobby,F-D,12900,12900
CHV,Burpo,Preston,GK,52491.6,52491.6
CHV,Cunliffe,John,F,30000,45000
CHV,Flores,Jorge,M,12900,13275
CHV,Galindo,Maykel,F,72500,72500
CHV,Guzan,Brad,GK,52237.5,67237.5
CHV,Hamilton,Anthony,F,17700,17700
CHV,Hernandez,Jason,D,45000,45625
CHV,Kljestan,Sacha,M,70000,103000
CHV,Llamosa,Carlos,D,84000,84000
CHV,Lopez,Rodrigo,M,17700,17700
CHV,Marsch,Jesse,M,100000,109375
CHV,Mendoza,Francisco,M,90000,93750
CHV,Merlin,Laurent,M,60000,60000
CHV,Myers,Justin,GK,12900,12900
CHV,Nagamura,Paulo,M,89250,89250
CHV,Nunez,Ramon,M,100000,118000
CHV,Perez,Orlando,D,70000,70000
CHV,Razov,Ante,F,245000,248750
CHV,Robles,Eder,D,12900,12900
CHV,Solorzano,Erasmo,M,12900,12900
CHV,Suarez,Claudio,D,146991.6,146991.6
CHV,Thomas,Shavar,D,70000,73750
CHV,Vaughn,Lawson,D,30000,30000
CHV,Zotinca,Alex,D,67500,68750
CLB,Evans,Brad,F,17700,17700
CLB,Garey,Jason,F,41250,53750
CLB,Gaudette,Bill,GK,30000,30000
CLB,Gaven,Eddie,M,165000,188000
CLB,Gonzalez,Marcos,D,156000,162250
CLB,Grabavoy,Ned,M,45050.25,52550.25
CLB,Gruenebaum,Andy,GK,17700,17700
CLB,Hejduk,Frankie,D,150000,175000
CLB,Hendrickson,Ezra,D-M,76650,77900
CLB,Herron,Andy,F,140000,148750
CLB,Hesmer,William,GK,30870,30870
CLB,Hunter,Ben,F,12900,12900
CLB,Junge,Ryan,D,12900,12900
CLB,Kamara,Kei,F,33000,43000
CLB,Marshall,Chad,D,100000,123000
CLB,Miglioranzi,Stefani,M,70008,86258
CLB,Moreno,Alejandro,F,120000,125000
CLB,Moss,Brandon,M,17700,17700
CLB,O'Rourke,Danny,M,46331.25,56331.25
CLB,Oughton,Duncan,D,72000,72000
CLB,Peterson,Andrew,M,12900,12900
CLB,Pierce,Rusty,D,63000,64300
CLB,Rogers,Robbie,F-M,50000,50000
CLB,Schelotto,Guillermo Barros,F,150000,150000
CLB,Szetela,Danny,M,43135.31,48760.31
CLB,Thomas,Jacob,M,84000,87750
CLB,Virtuoso,Ricardo,M,60000,102000
CLB,Ward,Tim,D,38456.25,48456.25
CLB,Zayner,Jed,D,33000,40500
COL,Ballouchy,Mehdi,M,70000,88000
COL,Cancela,Jose,M,156000,156000
COL,Casey,Conor,F,180000,180000
COL,Clark,Colin,F,17700,17700
COL,Colaluca,Nico,M,45000,78000
COL,Cooke,Terry,M,147500,152500
COL,Coundoul,Bouna,GK,30000,30000
COL,Cummings,Omar,F,30000,30000
COL,DiRaimondo,John,M,12900,12900
COL,Erpen,Facundo,D,115000,115000
COL,Gargan,Daniel,M,30000,30000
COL,Gomez,Hercules,F,49350,49350
COL,Harvey,Jordan,D,17700,17700
COL,Hernandez,Nicolas,F,130000,132400
COL,Hughes,Justin,GK,12900,12900
COL,Ihemelu,Ugo,D,55000,55000
COL,Keel,Stephen,D,17700,17700
COL,Kimura,Kosuke,M,12900,12900
COL,Kirovski,Jovan,F,200000,200000
COL,LaBrocca,Nick,M,12900,12900
COL,Mastroeni,Pablo,M-D,280000,298000
COL,Osorno,Daniel,F,138000,143000
COL,Peterson,Jacob,F,70000,88750
COL,Petke,Mike,D,126000,126000
COL,Prideaux,Brandon,D,76403,76403
COL,Sanneh,Tony,D,60000,60000
COL,Thornton,Zach,GK,57600,57600
COL,Wasson,Daniel,D,17700,17700
COL,Wilmes,Clifton,D,12900,12900
DAL,Alvarez,Arturo,M,32819,46019
DAL,Botero,Juan Sebastian,M,12900,12900
DAL,Burse,Ray,GK,17700,17700
DAL,Cooper,Kenny,F,80000,83000
DAL,Daniels,Andrew,D,12900,12900
DAL,De Oliveira,Denilson,M,872736,879936
DAL,Dello-Russo,Michael,D,12900,12900
DAL,Gbandi,Chris,D,100000,103750
DAL,Gbandi,Sandy,M,12900,12900
DAL,Goodson,Clarence,D,48378.75,53378.75
DAL,Hislop,Shaka,GK,220800,220800
DAL,Ibrahim,Abdus,F,50000,83000
DAL,Jones,Scott,M,12900,12900
DAL,McCarty,Dax,M,33000,45500
DAL,Mina,Roberto,F,80000,80000
DAL,Moor,Drew,D,53350,65850
DAL,Oduro,Dominic,F,30000,30000
DAL,Pereira,Ricardo,F,30000,30000
DAL,Pitchkolan,Aaron,M,17700,17700
DAL,Rhine,Bobby,D,60000,62500
DAL,Ricchetti,Pablo,M,120000,126625
DAL,Ruiz,Carlos,F,325000,435000
DAL,Sala,Dario,GK,110000,119875
DAL,Saragosa,Marcelo,M,67008,71883
DAL,Serioux,Adrian,D,108000,120500
DAL,Thompson,Abe,F,30000,30000
DAL,Toja,Juan Carlos,M,100008,100008
DAL,Wagenfuhr,David,D,30870,30870
DAL,Wagner,Blake,D,33000,45500
DAL,Wallace,Anthony,M,45000,78000
DAL,Yi,Alex,D,30870,30870
DC,Addlery,Nicholas,F,36000,36000
DC,Arguez,Bryan,M-D,45000,76200
DC,Boswell,Robert,D,30870,30870
DC,Burch,Marc,D,30000,30000
DC,Carreiro da Silva,Fred,M-F,190008,222008
DC,Carroll,Brian,M,115000,118750
DC,Carroll,Jeff,M-D,12900,12900
DC,Crowe,Shawn,GK,12900,12900
DC,DeRoux,Stephen,M,12900,12900
DC,Dyachenko,Rod,M,17700,17700
DC,Emilio,Luciano,F,265000,293125
DC,Gomez,Cristian,M,216000,218500
DC,Gros,Joshua,M,72500,75000
DC,Kpene,Guy,F,30000,30000
DC,McTavish,Devon,M,30000,30000
DC,Mediate,Stanton,M-F,30000,30000
DC,Moose,Justin,M,17700,17700
DC,Moreno,Jaime,F,250000,275000
DC,Mupier,Mira,F,12900,12900
DC,Namoff,Bryan,D,85000,88750
DC,Nolly,Jay,GK,36000,36000
DC,North,Brad,F,12900,12900
DC,Olsen,Ben,M,155000,177500
DC,Perkins,Troy,GK,85000,87500
DC,Simms,Clyde,M,52500,53750
DC,Vanney,Greg,D,216667,236667
DC,Walker,Jamil,M-F,30870,30870
HOU,Ashe,Corey,M,30000,30000
HOU,Barrett,Wade,D,141750,141750
HOU,Chabala,Mike,M,17700,17700
HOU,Ching,Brian,F,220000,220000
HOU,Clark,Ricardo,M,195000,195000
HOU,Cochrane,Ryan,D,51149,66149
HOU,Dalglish,Paul,F,96000,101000
HOU,Davis,Brad,M,120000,120000
HOU,DeRosario,Dwayne,M,324999.96,324999.96
HOU,Ebert,Eric,M,12900,12900
HOU,Hatzke,Nick,M,12900,12900
HOU,Hayden,John-Michael,M,17700,17700
HOU,Hoerner,Kenneth,M-F,12900,12900
HOU,Holden,Stuart,M,31500,31500
HOU,Ianni,Patrick,D,70000,103000
HOU,James,Jordan,GK,12900,12900
HOU,Jaqua,Nate,F,112500,119525
HOU,Moloi,Mpho,M,17700,17700
HOU,Mullan,Brian,M,125000,125000
HOU,Mulrooney,Richard,M,220000,233200
HOU,Ngwenya,Joseph,F,51148.13,62023.13
HOU,Onstad,Pat,GK,168000,168000
HOU,Robinson,Eddie,D,110000,110000
HOU,Ustruck,Erik,M,12900,12900
HOU,Waibel,Craig,D,85000,85000
HOU,Wells,Zachary,GK,50400,50400
HOU,Wondolowski,Chris,M,30000,30000
KC,Arnaud,Davy,M,100000,101875
KC,Burciaga,Jose,D,100000,102500
KC,Colombano,Eloy,F-M,42000,42000
KC,Conrad,Jimmy,D,194750,206000
KC,Elcock,Edson,M-F,17700,17700
KC,Garcia,Nick,D,131250,136250
KC,Godbolt,Aaron John,M,17700,17700
KC,Guadarrama,Willy,F,12900,12900
KC,Harrington,Michael,D,36000,53500
KC,Hartman,Kevin,GK,150000,150000
KC,Hohlbein,Aaron,M-D,30000,30000
KC,Jewsbury,Jack,M-F,50000,50000
KC,John,Will,M-F,33075,40575
KC,Johnson,Eddie,F,750000,875000
KC,Konopka,Chris,GK,12900,12900
KC,Kraus,Michael,M-F,12900,12900
KC,Kronberg,Eric,GK,30000,30000
KC,Lowery,Amir,M,12900,12900
KC,Marinelli,Carlos,M,165000,165000
KC,McMahen,Ryan,M,30000,30000
KC,Morsink,Kurt,M,30000,30000
KC,Movsisyan,Yura,F,35750,45750
KC,Pore,Ryan,F,44825,57325
KC,Raybould,Ryan,D-M,30000,30000
KC,Sealy,Scott,F,33075,33075
KC,Victorine,Sasha,M,137500,140000
KC,Wahl,Tyson,D,30000,30000
KC,Watson,Lance,M,17700,17700
KC,Zavagnin,Kerry,M,154000,154000
LA,Albright,Chris,M-D,142500,142500
LA,Beckham,David,M,5500000.08,6500000.04
LA,Buddle,Edson,F,140000,150000
LA,Cannon,Joe,GK,192000,192000
LA,Caso,Mike,M,12900,12900
LA,Cronin,Steve,GK,34728.75,42228.75
LA,Donovan,Landon,F,900000,900000
LA,Friesz,Lance,GK,12900,12900
LA,Glinton,Gavin,F,50000,50000
LA,Gordon,Alan,F,30870,30870
LA,Gray,Kelly,M-D,85000,85000
LA,Harden,Ty,D,30000,30000
LA,Harmse,Kevin,M,40800,40800
LA,Jazic,Ante,D-M,108000,114250
LA,Jones,Cobi,M,95000,95000
LA,Kirk,Quavas,F,75000,111500
LA,Klein,Chris,M,180000,187250
LA,Martino,Kyle,M,52500,55297.27
LA,Pavon,Carlos,F,132000,141500
LA,Randolph,Michael,D,17700,17700
LA,Roberts,Troy,D,30000,30000
LA,Sesay,Israel,F,45000,57083.33
LA,Tudela,Josh,M,17700,17700
LA,Vagenas,Peter,M,131250,131875
LA,Veris,Kyle,D,17700,17700
LA,Xavier,Abel,D,156000,156000
NE,Byrne,Bryan,M,30000,30000
NE,Cristman,Adam,F,17700,17700
NE,Dorman,Andy,M,30870,30870
NE,Flood,Gary,D,12900,12900
NE,Franchino,Joey,D,90000,90000
NE,Gonzalez,Miguel,M,12900,12900
NE,Heaps,Jay,D,110000,113750
NE,Helton,Kyle,D,12900,12900
NE,Igwe,Amaechi,F,45000,78000
NE,John,Avery,D,63000,63750
NE,Joseph,Shalrie,D,170625,180625
NE,Knighton,Brad,GK,12900,12900
NE,Larentowicz,Jeff,M,30000,30000
NE,Leonard,Marshall,M,47500,47500
NE,Loftus,Chris,F,12900,12900
NE,Noonan,Pat,F,225000,227500
NE,Oka,Arsene,M,12900,12900
NE,Parkhurst,Michael,D,80575,93075
NE,Ralston,Steve,M,150000,150000
NE,Reis,Matt,GK,150000,150000
NE,Riley,James,D-F,30870,30870
NE,Sims,Willie,F,35500,43000
NE,Smith,Khano,F,44100,44100
NE,Solle,Ryan,M,17700,17700
NE,Thompson,Wells,M,30000,30000
NE,Twellman,Taylor,F,325008,350008
NE,Warren,Doug,GK,50000,50000
NY,Altidore,Josmer,F,85000,108333
NY,Angel,Juan Pablo,F,1500000,1593750
NY,Caccavale,Salvatore,M,12900,12900
NY,Camp,Blake,M,12900,12900
NY,Cepero,Danny,GK,12900,12900
NY,Conway,Jon,GK,65000,65750
NY,Doe,Francis,F,48000,48000
NY,Freeman,Hunter,D-M,50600,60600
NY,Goldthwaite,Kevin,D,30870,30870
NY,Ikangu,Elie,M,17700,17700
NY,Karcz,Chris,M,12900,12900
NY,Kovalenko,Dema,M,190000,197375
NY,Laventure,Jerrod,F,12900,12900
NY,Leitch,Chris,D,43200,43200
NY,Magee,Mike,F,56206.25,57206.25
NY,Mathis,Clint,M-F,270000,410000
NY,Mendes,Carlos,D,62606.25,62606.25
NY,Parke,Jeff,D,47250,48500
NY,Patterson,Randi,F,12900,12900
NY,Quaranta,Santino,F,100000,105312.5
NY,Reyna,Claudio,M,1000008,1250008
NY,Richards,Dane,F-M,30000,30000
NY,Schopp,Markus,M,175000,175000
NY,Stammler,Seth,D,30870,30870
NY,Ubiparipovic,Sinisa,F-M,17700,17700
NY,Van Den Bergh,Dave,M,180000,214583.33
NY,Vide,Joe,M,17700,17700
NY,Waterreus,Ronald,GK,200000,200000
NY,Wolyniec,John,F,65625,65625
Pool,Monsalve,David,GK,30000,30000
Pool,Pardo,Boris,GK,17700,17700
Pool,Reynolds,Samuel,GK,17700,17700
Pool,Schoeni,Kenny,GK,17700,17700
RSL,Beckerman,Kyle,M,120000,122500
RSL,Besagno,Nikolas,M,75000,111500
RSL,Brown,Kyle,F,17700,17700
RSL,Brown,Chris,M-F,70000,70000
RSL,Curfman,Steven,M,12900,12900
RSL,Cutler,Kenny,M,30000,30000
RSL,Eskandarian,Alecko,F,155000,175500
RSL,Espindola,Edgar,F,72000,72000
RSL,Findley,Robert,F,36000,48500
RSL,Forko,Willis,D,30000,30000
RSL,Harris,Atiba,F,30000,30000
RSL,Hashimoto,Duke,F,17700,17700
RSL,Jimenez,Christian,M,33075,43075
RSL,Kipre,Jean-Martial,D,30000,30000
RSL,Kirby,Dustin,D,12900,12900
RSL,Kotschau,Ritchie,D,69300,70175
RSL,Lancos,Chris,D,17700,17700
RSL,Mantilla,Matias,D,48000,48000
RSL,Morales,Javier,M,120000,120000
RSL,Pope,Eddie,D,265000,265000
RSL,Reynish,Kyle,GK,17700,17700
RSL,Rimando,Nick,GK,64125,68468.75
RSL,Seitz,Chris,GK,55000,90500
RSL,Stewart,Jack,D,41081.25,48581.25
RSL,Sturgis,Nathan,M,70000,103000
RSL,Talley,Carey,D,118248,118248
RSL,Watson,Jamie,F,45100,50100
RSL,Williams,Andy,F,70008,70008
RSL,Wingert,Chris,D,54993.75,62493.75
TFC,Attakora-Gyan,Nana,D,12900,12900
TFC,Boyens,Andrew,D,30000,47500
TFC,Braz,Adam,D,67200,74950
TFC,Brennan,Jim,D,150000,158000
TFC,Canizalez,Maycoll,M,36000,40000
TFC,Cunningham,Jeffrey,F,220000,232500
TFC,Dichio,Daniel,F,150000,158125
TFC,Djekanovic,Srdjan,GK,17700,17700
TFC,Dunivant,Todd,D,99750,99750
TFC,Edu,Maurice,M,50000,132500
TFC,Gala,Gabriel,M,12900,12900
TFC,Guzman,David,M,12900,12900
TFC,Hemming,Tyler,M,17700,17700
TFC,Lombardo,Andrea,F,30000,30000
TFC,Lumley,Stephen,D,12900,12900
TFC,Marshall,Tyrone,D,142000,149500
TFC,Melo,Joey,M,12900,12900
TFC,Nunez,Cristian,M,17700,17700
TFC,O'Brien,Ronnie,M,240000,258750
TFC,Pozniak,Chris,D,90000,95000
TFC,Reda,Marco,D,100000,105000
TFC,Robinson,Carl,M,300000,315000
TFC,Samuel,Collin,F,90000,115000
TFC,Stamatopolus,Kenny,GK,30000,37500
TFC,Sutton,Greg,GK,125000,132562.5
TFC,Welsh,Andrew,M,195000,204750
TFC,Wynne,Marvell,D,47500,150000